,APR DRG Code,County,Weighted avg,Total Population,Median age,Number of Households,Median Income
359,40,Herkimer,1388.29,62943,43.7,25187,49077
360,40,Jefferson,36643.68,116567,31.9,43206,50322
361,40,Kings,48981.45,2635121,34.8,944650,52782
362,40,Lewis,9234,26845,41.8,10236,51475
363,40,Madison,4557.5,71760,41.3,26307,58365
364,40,Monroe,28188.58,748680,38.6,300496,55272
365,40,Montgomery,14851,49500,41.1,19700,47449
366,40,Nassau,70562.42,1363069,41.5,444136,105744
367,40,New York,75746.57,1653877,37.1,758345,79781
368,40,Niagara,8543.28,212675,43,87978,51656
369,40,Oneida,21936.45,232324,41,90472,51316
370,40,Onondaga,50151.4,467669,38.8,185840,57271
371,40,Ontario,16795.49,109491,43.4,44269,61710
372,40,Orange,58456.48,378174,36.9,126460,75146
373,40,Orleans,8851.13,41584,42.8,16214,49223
374,40,Oswego,15368.81,119833,39.8,45881,51755
375,40,Otsego,23118.49,60750,42,23627,51254
376,40,Putnam,62589.57,99464,43.8,34316,99608
377,40,Queens,45819.86,2339280,38.3,777904,62008
378,40,Rensselaer,18949.22,159800,39.9,64456,63166
379,40,Richmond,54824.37,475948,39.9,166150,76244
380,40,Rockland,81486.41,325027,36.2,99935,88571
381,40,Saint Lawrence,15404.1,,,,
382,40,Saratoga,25755.02,226632,42.3,93129,77548
383,40,Schenectady,51032.98,155239,39.8,53825,61315
384,40,Schuyler,940.5,18112,45.7,7444,47810
385,40,Steuben,15816.13,97539,42.4,40351,50157
386,40,Suffolk,58842.97,1497595,41,489328,92838
387,40,Sullivan,12702.16,75783,42.6,27679,53877
388,40,Tompkins,12060.53,104415,30.4,38986,56200
389,40,Ulster,33991.36,180129,43.6,69662,61652
390,40,Warren,18352.44,64701,46.2,27249,60222
391,40,Wayne,23622.39,91442,43.6,36578,53693
392,40,Westchester,59666.87,975321,40.6,345885,89968
393,40,Wyoming,3218,40886,41.8,15686,55459
394,40,Yates,14354.96,25083,41.7,9338,51758
395,41,Albany,44918.75,308580,37.8,125376,62293
396,41,Allegany,11415.97,47400,38.6,18124,45359
397,41,Bronx,65428.89,1455846,33.6,495356,36593
398,41,Broome,20465.97,196124,39.6,78821,49064
399,41,Cattaraugus,10486.07,78175,41.7,31723,45571
400,41,Cayuga,23128.83,78319,42.5,31428,54664
401,41,Chautauqua,13545.1,130846,42.3,52983,44304
402,41,Chemung,23366.07,86883,41.2,34664,51251
403,41,Chenango,12863.18,48763,44.4,20373,48567
404,41,Clinton,34018.14,81224,39.4,31680,52759
405,41,Columbia,15092.76,61481,47.4,25470,61093
406,41,Cortland,12458.82,48334,36.2,17925,52451
407,41,Delaware,4595.72,45950,47,19098,47921
408,41,Dutchess,50530.57,295685,41.8,107384,75585
409,41,Erie,25533.99,923995,40.3,386371,54006
410,41,Essex,9820.8,38233,46.7,15257,55294
411,41,Franklin,11822.16,51054,40.5,18956,50733
412,41,Fulton,17741.84,53955,43.4,22535,48033
413,41,Genesee,17721.82,58537,43.2,23951,54033
414,41,Herkimer,9061.3,62943,43.7,25187,49077
415,41,Jefferson,32819.65,116567,31.9,43206,50322
416,41,Kings,47774.9,2635121,34.8,944650,52782
417,41,Lewis,10394.95,26845,41.8,10236,51475
418,41,Livingston,8633.07,64373,40.4,24432,53654
419,41,Madison,11346.65,71760,41.3,26307,58365
420,41,Monroe,24109.93,748680,38.6,300496,55272
421,41,Montgomery,21355.65,49500,41.1,19700,47449
422,41,Nassau,64866.76,1363069,41.5,444136,105744
423,41,New York,63295.94,1653877,37.1,758345,79781
424,41,Niagara,11896.78,212675,43,87978,51656
425,41,Oneida,23509.46,232324,41,90472,51316
426,41,Onondaga,36227.54,467669,38.8,185840,57271
427,41,Ontario,14269.6,109491,43.4,44269,61710
428,41,Orange,48645.45,378174,36.9,126460,75146
429,41,Orleans,4342.07,41584,42.8,16214,49223
430,41,Oswego,14083.64,119833,39.8,45881,51755
431,41,Otsego,23056.92,60750,42,23627,51254
432,41,Putnam,46928.8,99464,43.8,34316,99608
433,41,Queens,46973.42,2339280,38.3,777904,62008
434,41,Rensselaer,23828.06,159800,39.9,64456,63166
435,41,Richmond,48498.99,475948,39.9,166150,76244
436,41,Rockland,46454.79,325027,36.2,99935,88571
437,41,Saint Lawrence,14824.93,,,,
438,41,Saratoga,34248.09,226632,42.3,93129,77548
439,41,Schenectady,30287.42,155239,39.8,53825,61315
440,41,Schuyler,8849.82,18112,45.7,7444,47810
441,41,Steuben,11291.12,97539,42.4,40351,50157
442,41,Suffolk,56125.46,1497595,41,489328,92838
443,41,Sullivan,22408.34,75783,42.6,27679,53877
444,41,Tompkins,16479.28,104415,30.4,38986,56200
445,41,Ulster,35196.82,180129,43.6,69662,61652
446,41,Warren,30064.86,64701,46.2,27249,60222
447,41,Wayne,12874.55,91442,43.6,36578,53693
448,41,Westchester,53042.88,975321,40.6,345885,89968
449,41,Wyoming,7393.64,40886,41.8,15686,55459
450,41,Yates,20989.31,25083,41.7,9338,51758
451,42,Albany,38093.4,308580,37.8,125376,62293
452,42,Allegany,8387.25,47400,38.6,18124,45359
453,42,Bronx,51013.2,1455846,33.6,495356,36593
454,42,Broome,20595.57,196124,39.6,78821,49064
455,42,Cattaraugus,9949.17,78175,41.7,31723,45571
456,42,Cayuga,22071.1,78319,42.5,31428,54664
457,42,Chautauqua,10875.37,130846,42.3,52983,44304
458,42,Chemung,17224.07,86883,41.2,34664,51251
459,42,Chenango,13498.52,48763,44.4,20373,48567
460,42,Clinton,35261.72,81224,39.4,31680,52759
461,42,Columbia,15512.82,61481,47.4,25470,61093
462,42,Cortland,11159.72,48334,36.2,17925,52451
463,42,Delaware,4384.29,45950,47,19098,47921
464,42,Dutchess,36051.56,295685,41.8,107384,75585
465,42,Erie,26328.73,923995,40.3,386371,54006
466,42,Essex,8539.04,38233,46.7,15257,55294
467,42,Franklin,14152.35,51054,40.5,18956,50733
468,42,Fulton,20234.11,53955,43.4,22535,48033
469,42,Genesee,13278.06,58537,43.2,23951,54033
470,42,Herkimer,8604.57,62943,43.7,25187,49077
471,42,Jefferson,35311.9,116567,31.9,43206,50322
472,42,Kings,40951.38,2635121,34.8,944650,52782
473,42,Lewis,8877.58,26845,41.8,10236,51475
474,42,Livingston,9920.74,64373,40.4,24432,53654
475,42,Madison,13078.88,71760,41.3,26307,58365
476,42,Monroe,24030.16,748680,38.6,300496,55272
477,42,Montgomery,19874.38,49500,41.1,19700,47449
478,42,Nassau,49351.9,1363069,41.5,444136,105744
479,42,New York,60520.73,1653877,37.1,758345,79781
480,42,Niagara,11949.31,212675,43,87978,51656
481,42,Oneida,17949.24,232324,41,90472,51316
482,42,Onondaga,35909.63,467669,38.8,185840,57271
483,42,Ontario,12386.19,109491,43.4,44269,61710
484,42,Orange,42821.23,378174,36.9,126460,75146
485,42,Orleans,8854.34,41584,42.8,16214,49223
486,42,Oswego,18010.96,119833,39.8,45881,51755
487,42,Otsego,16625.04,60750,42,23627,51254
488,42,Putnam,31658.24,99464,43.8,34316,99608
489,42,Queens,48158.2,2339280,38.3,777904,62008
490,42,Rensselaer,27122.52,159800,39.9,64456,63166
491,42,Richmond,43487.86,475948,39.9,166150,76244
492,42,Rockland,43029.4,325027,36.2,99935,88571
493,42,Saint Lawrence,16633.42,,,,
494,42,Saratoga,40064.02,226632,42.3,93129,77548
495,42,Schenectady,25163.54,155239,39.8,53825,61315
496,42,Schuyler,6119.18,18112,45.7,7444,47810
497,42,Steuben,10214.26,97539,42.4,40351,50157
498,42,Suffolk,46898.48,1497595,41,489328,92838
499,42,Sullivan,48134.82,75783,42.6,27679,53877
500,42,Tompkins,13109,104415,30.4,38986,56200
501,42,Ulster,28372.42,180129,43.6,69662,61652
502,42,Warren,28199.95,64701,46.2,27249,60222
503,42,Wayne,18779.61,91442,43.6,36578,53693
504,42,Westchester,33152.54,975321,40.6,345885,89968
505,42,Wyoming,8719.23,40886,41.8,15686,55459
506,42,Yates,12744.7,25083,41.7,9338,51758
507,43,Albany,34711.36,308580,37.8,125376,62293
508,43,Allegany,3608.45,47400,38.6,18124,45359
509,43,Bronx,49270.42,1455846,33.6,495356,36593
510,43,Broome,16559.05,196124,39.6,78821,49064
